,area_code,state,market,market_size,profit,margin,sales,cogs,total_expenses,marketing,inventory,budget_profit,budget_cogs,budget_margin,budget_sales,productid,date,product_type,product,type,mes,año
0,203,Connecticut,East,Small Market,107.0,176.0,292.0,116.0,69.0,38.0,962.0,110.0,110.0,160.0,270.0,2,2010-04-01,Coffee,Columbian,Regular,4,2010
1,203,Connecticut,East,Small Market,75.0,135.0,225.0,90.0,60.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2010-07-01,Coffee,Columbian,Regular,7,2010
2,203,Connecticut,East,Small Market,122.0,195.0,325.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2010-11-01,Coffee,Columbian,Regular,11,2010
3,203,Connecticut,East,Small Market,105.0,174.0,289.0,115.0,69.0,37.0,1166.0,110.0,100.0,160.0,260.0,2,2010-12-01,Coffee,Columbian,Regular,12,2010
4,203,Connecticut,East,Small Market,104.0,135.0,223.0,90.0,56.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2011-07-01,Coffee,Columbian,Regular,7,2011
5,203,Connecticut,East,Small Market,104.0,135.0,223.0,90.0,56.0,29.0,1139.0,90.0,80.0,130.0,210.0,2,2011-08-01,Coffee,Columbian,Regular,8,2011
6,203,Connecticut,East,Small Market,135.0,155.0,275.0,103.0,64.0,33.0,1130.0,110.0,90.0,150.0,240.0,2,2011-09-01,Coffee,Columbian,Regular,9,2011
7,203,Connecticut,East,Small Market,171.0,188.0,334.0,125.0,73.0,41.0,1119.0,130.0,100.0,160.0,260.0,2,2011-10-01,Coffee,Columbian,Regular,10,2011
8,203,Connecticut,East,Small Market,181.0,195.0,346.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2011-11-01,Coffee,Columbian,Regular,11,2011
9,203,Connecticut,East,Small Market,15.0,31.0,51.0,20.0,16.0,5.0,804.0,20.0,20.0,30.0,50.0,13,2010-06-01,Tea,Green Tea,Regular,6,2010
10,203,Connecticut,East,Small Market,33.0,54.0,90.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,2010-11-01,Tea,Green Tea,Regular,11,2010
11,203,Connecticut,East,Small Market,17.0,28.0,47.0,19.0,15.0,5.0,811.0,20.0,20.0,30.0,50.0,13,2011-08-01,Tea,Green Tea,Regular,8,2011
12,203,Connecticut,East,Small Market,27.0,36.0,64.0,24.0,18.0,6.0,806.0,40.0,20.0,40.0,60.0,13,2011-10-01,Tea,Green Tea,Regular,10,2011
13,203,Connecticut,East,Small Market,49.0,54.0,96.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,2011-11-01,Tea,Green Tea,Regular,11,2011
14,203,Connecticut,East,Small Market,-2.0,75.0,128.0,53.0,77.0,48.0,597.0,10.0,50.0,70.0,120.0,5,2010-06-01,Espresso,Caffe Mocha,Regular,6,2010
15,203,Connecticut,East,Small Market,1.0,84.0,144.0,60.0,83.0,54.0,606.0,40.0,40.0,90.0,130.0,5,2010-10-01,Espresso,Caffe Mocha,Regular,10,2010
16,203,Connecticut,East,Small Market,2.0,86.0,147.0,61.0,84.0,55.0,613.0,10.0,60.0,80.0,140.0,5,2010-11-01,Espresso,Caffe Mocha,Regular,11,2010
17,203,Connecticut,East,Small Market,11.0,105.0,201.0,75.0,103.0,68.0,522.0,20.0,70.0,100.0,170.0,5,2011-01-01,Espresso,Caffe Mocha,Regular,1,2011
18,203,Connecticut,East,Small Market,4.0,90.0,165.0,65.0,87.0,58.0,513.0,20.0,60.0,90.0,150.0,5,2011-02-01,Espresso,Caffe Mocha,Regular,2,2011
19,203,Connecticut,East,Small Market,0.0,87.0,160.0,63.0,87.0,57.0,506.0,10.0,60.0,80.0,140.0,5,2011-03-01,Espresso,Caffe Mocha,Regular,3,2011
20,203,Connecticut,East,Small Market,0.0,87.0,160.0,63.0,87.0,57.0,521.0,10.0,60.0,80.0,140.0,5,2011-04-01,Espresso,Caffe Mocha,Regular,4,2011
21,203,Connecticut,East,Small Market,4.0,90.0,153.0,64.0,81.0,58.0,551.0,20.0,60.0,90.0,150.0,5,2011-05-01,Espresso,Caffe Mocha,Regular,5,2011
22,203,Connecticut,East,Small Market,3.0,87.0,159.0,62.0,85.0,56.0,612.0,20.0,50.0,90.0,140.0,5,2011-09-01,Espresso,Caffe Mocha,Regular,9,2011
23,203,Connecticut,East,Small Market,-3.0,76.0,140.0,55.0,78.0,49.0,627.0,10.0,50.0,70.0,120.0,5,2011-12-01,Espresso,Caffe Mocha,Regular,12,2011
24,203,Connecticut,East,Small Market,29.0,75.0,130.0,55.0,46.0,18.0,305.0,40.0,50.0,70.0,120.0,6,2010-02-01,Espresso,Decaf Espresso,Decaf,2,2010
25,203,Connecticut,East,Small Market,22.0,65.0,113.0,48.0,43.0,15.0,334.0,40.0,40.0,70.0,110.0,6,2010-05-01,Espresso,Decaf Espresso,Decaf,5,2010
26,203,Connecticut,East,Small Market,16.0,57.0,100.0,43.0,41.0,14.0,388.0,20.0,40.0,50.0,90.0,6,2010-07-01,Espresso,Decaf Espresso,Decaf,7,2010
27,203,Connecticut,East,Small Market,16.0,56.0,98.0,42.0,40.0,13.0,384.0,20.0,40.0,50.0,90.0,6,2010-08-01,Espresso,Decaf Espresso,Decaf,8,2010
28,203,Connecticut,East,Small Market,47.0,75.0,145.0,55.0,47.0,18.0,312.0,40.0,50.0,70.0,120.0,6,2011-01-01,Espresso,Decaf Espresso,Decaf,1,2011
29,203,Connecticut,East,Small Market,39.0,71.0,132.0,53.0,45.0,17.0,299.0,40.0,50.0,70.0,120.0,6,2011-03-01,Espresso,Decaf Espresso,Decaf,3,2011
30,203,Connecticut,East,Small Market,22.0,56.0,97.0,42.0,37.0,13.0,384.0,20.0,40.0,50.0,90.0,6,2011-08-01,Espresso,Decaf Espresso,Decaf,8,2011
31,203,Connecticut,East,Small Market,31.0,64.0,118.0,47.0,43.0,15.0,375.0,50.0,30.0,60.0,90.0,6,2011-10-01,Espresso,Decaf Espresso,Decaf,10,2011
32,203,Connecticut,East,Small Market,39.0,71.0,132.0,53.0,45.0,17.0,380.0,40.0,50.0,70.0,120.0,6,2011-11-01,Espresso,Decaf Espresso,Decaf,11,2011
33,203,Connecticut,East,Small Market,31.0,65.0,121.0,49.0,44.0,16.0,392.0,40.0,40.0,70.0,110.0,6,2011-12-01,Espresso,Decaf Espresso,Decaf,12,2011
