profit,margin,sales,cogs,total_expenses,marketing,inventory,budget_profit,budget_margin,budget_sales,market_encoding,market_size_encoding,año_encoding,Coffee,Espresso,Herbal Tea,Tea
107.0,176.0,292.0,116.0,69.0,38.0,962.0,110.0,160.0,270.0,3,0,0,1,0,0,0
75.0,135.0,225.0,90.0,60.0,29.0,1148.0,90.0,130.0,210.0,3,0,0,1,0,0,0
122.0,195.0,325.0,130.0,73.0,42.0,1134.0,130.0,180.0,290.0,3,0,0,1,0,0,0
105.0,174.0,289.0,115.0,69.0,37.0,1166.0,110.0,160.0,260.0,3,0,0,1,0,0,0
104.0,135.0,223.0,90.0,56.0,29.0,1148.0,90.0,130.0,210.0,3,0,1,1,0,0,0
104.0,135.0,223.0,90.0,56.0,29.0,1139.0,90.0,130.0,210.0,3,0,1,1,0,0,0
135.0,155.0,275.0,103.0,64.0,33.0,1130.0,110.0,150.0,240.0,3,0,1,1,0,0,0
171.0,188.0,334.0,125.0,73.0,41.0,1119.0,130.0,160.0,260.0,3,0,1,1,0,0,0
181.0,195.0,346.0,130.0,73.0,42.0,1134.0,130.0,180.0,290.0,3,0,1,1,0,0,0
15.0,31.0,51.0,20.0,16.0,5.0,804.0,20.0,30.0,50.0,3,0,0,0,0,0,1
33.0,54.0,90.0,36.0,21.0,10.0,809.0,40.0,60.0,90.0,3,0,0,0,0,0,1
17.0,28.0,47.0,19.0,15.0,5.0,811.0,20.0,30.0,50.0,3,0,1,0,0,0,1
27.0,36.0,64.0,24.0,18.0,6.0,806.0,40.0,40.0,60.0,3,0,1,0,0,0,1
49.0,54.0,96.0,36.0,21.0,10.0,809.0,40.0,60.0,90.0,3,0,1,0,0,0,1
-2.0,75.0,128.0,53.0,77.0,48.0,597.0,10.0,70.0,120.0,3,0,0,0,1,0,0
1.0,84.0,144.0,60.0,83.0,54.0,606.0,40.0,90.0,130.0,3,0,0,0,1,0,0
2.0,86.0,147.0,61.0,84.0,55.0,613.0,10.0,80.0,140.0,3,0,0,0,1,0,0
11.0,105.0,201.0,75.0,103.0,68.0,522.0,20.0,100.0,170.0,3,0,1,0,1,0,0
4.0,90.0,165.0,65.0,87.0,58.0,513.0,20.0,90.0,150.0,3,0,1,0,1,0,0
0.0,87.0,160.0,63.0,87.0,57.0,506.0,10.0,80.0,140.0,3,0,1,0,1,0,0
0.0,87.0,160.0,63.0,87.0,57.0,521.0,10.0,80.0,140.0,3,0,1,0,1,0,0
4.0,90.0,153.0,64.0,81.0,58.0,551.0,20.0,90.0,150.0,3,0,1,0,1,0,0
3.0,87.0,159.0,62.0,85.0,56.0,612.0,20.0,90.0,140.0,3,0,1,0,1,0,0
-3.0,76.0,140.0,55.0,78.0,49.0,627.0,10.0,70.0,120.0,3,0,1,0,1,0,0
29.0,75.0,130.0,55.0,46.0,18.0,305.0,40.0,70.0,120.0,3,0,0,0,1,0,0
22.0,65.0,113.0,48.0,43.0,15.0,334.0,40.0,70.0,110.0,3,0,0,0,1,0,0
16.0,57.0,100.0,43.0,41.0,14.0,388.0,20.0,50.0,90.0,3,0,0,0,1,0,0
16.0,56.0,98.0,42.0,40.0,13.0,384.0,20.0,50.0,90.0,3,0,0,0,1,0,0
47.0,75.0,145.0,55.0,47.0,18.0,312.0,40.0,70.0,120.0,3,0,1,0,1,0,0
39.0,71.0,132.0,53.0,45.0,17.0,299.0,40.0,70.0,120.0,3,0,1,0,1,0,0
22.0,56.0,97.0,42.0,37.0,13.0,384.0,20.0,50.0,90.0,3,0,1,0,1,0,0
31.0,64.0,118.0,47.0,43.0,15.0,375.0,50.0,60.0,90.0,3,0,1,0,1,0,0
39.0,71.0,132.0,53.0,45.0,17.0,380.0,40.0,70.0,120.0,3,0,1,0,1,0,0
31.0,65.0,121.0,49.0,44.0,16.0,392.0,40.0,70.0,110.0,3,0,1,0,1,0,0
39.0,104.0,189.0,85.0,65.0,32.0,476.0,40.0,80.0,140.0,3,0,0,0,0,1,0
32.0,93.0,169.0,76.0,61.0,28.0,580.0,40.0,80.0,130.0,3,0,0,0,0,1,0
50.0,98.0,190.0,80.0,64.0,30.0,494.0,30.0,70.0,130.0,3,0,1,0,0,1,0
36.0,83.0,160.0,67.0,59.0,25.0,599.0,20.0,60.0,110.0,3,0,1,0,0,1,0
50.0,98.0,189.0,79.0,64.0,30.0,593.0,30.0,50.0,90.0,3,0,1,0,0,1,0
46.0,89.0,163.0,74.0,43.0,22.0,949.0,50.0,70.0,120.0,3,0,0,0,0,1,0
68.0,90.0,176.0,75.0,44.0,23.0,956.0,50.0,70.0,120.0,3,0,1,0,0,1,0
52.0,80.0,147.0,68.0,39.0,21.0,998.0,40.0,60.0,110.0,3,0,1,0,0,1,0
49.0,74.0,145.0,62.0,41.0,19.0,1059.0,40.0,60.0,100.0,3,0,1,0,0,1,0
52.0,77.0,151.0,65.0,42.0,20.0,1053.0,50.0,50.0,80.0,3,0,1,0,0,1,0
53.0,76.0,148.0,63.0,40.0,19.0,1075.0,40.0,60.0,100.0,3,0,1,0,0,1,0
43.0,68.0,115.0,47.0,25.0,13.0,821.0,60.0,80.0,120.0,3,0,0,0,0,0,1
32.0,52.0,87.0,35.0,20.0,9.0,894.0,50.0,60.0,90.0,3,0,0,0,0,0,1
28.0,49.0,83.0,34.0,21.0,9.0,890.0,40.0,50.0,80.0,3,0,0,0,0,0,1
41.0,64.0,108.0,44.0,23.0,12.0,886.0,50.0,70.0,110.0,3,0,0,0,0,0,1
46.0,55.0,91.0,37.0,20.0,10.0,876.0,40.0,60.0,90.0,3,0,1,0,0,0,1
38.0,77.0,130.0,53.0,39.0,16.0,338.0,70.0,100.0,160.0,2,0,0,1,0,0,0
48.0,89.0,150.0,61.0,41.0,19.0,325.0,80.0,110.0,180.0,2,0,0,1,0,0,0
56.0,99.0,167.0,68.0,43.0,21.0,438.0,110.0,140.0,230.0,2,0,0,1,0,0,0
59.0,77.0,145.0,53.0,41.0,16.0,338.0,70.0,100.0,160.0,2,0,1,1,0,0,0
80.0,100.0,180.0,69.0,46.0,22.0,340.0,90.0,130.0,210.0,2,0,1,1,0,0,0
91.0,114.0,191.0,79.0,45.0,25.0,425.0,110.0,150.0,240.0,2,0,1,1,0,0,0
15.0,128.0,220.0,92.0,113.0,22.0,541.0,60.0,160.0,270.0,2,0,0,1,0,0,0
16.0,132.0,227.0,95.0,46.0,22.0,532.0,70.0,170.0,280.0,2,0,0,1,0,0,0
17.0,132.0,227.0,95.0,46.0,22.0,554.0,70.0,170.0,280.0,2,0,0,1,0,0,0
24.0,154.0,264.0,110.0,46.0,22.0,665.0,90.0,200.0,330.0,2,0,0,1,0,0,0
34.0,184.0,317.0,133.0,46.0,22.0,705.0,100.0,230.0,390.0,2,0,0,1,0,0,0
24.0,132.0,242.0,95.0,46.0,22.0,532.0,70.0,170.0,280.0,2,0,1,1,0,0,0
33.0,154.0,262.0,110.0,46.0,22.0,665.0,90.0,200.0,330.0,2,0,1,1,0,0,0
43.0,173.0,294.0,124.0,46.0,22.0,717.0,100.0,220.0,370.0,2,0,1,1,0,0,0
24.0,130.0,238.0,93.0,46.0,22.0,692.0,60.0,160.0,270.0,2,0,1,1,0,0,0
25.0,134.0,245.0,96.0,46.0,22.0,683.0,100.0,190.0,330.0,2,0,1,1,0,0,0
30.0,145.0,266.0,105.0,46.0,22.0,716.0,50.0,170.0,290.0,2,0,1,1,0,0,0
0.0,87.0,150.0,63.0,87.0,57.0,506.0,10.0,60.0,100.0,2,0,0,0,0,0,1
-8.0,61.0,105.0,44.0,69.0,39.0,617.0,10.0,50.0,70.0,2,0,0,0,0,0,1
0.0,84.0,144.0,60.0,84.0,54.0,606.0,10.0,40.0,60.0,2,0,0,0,0,0,1
1.0,86.0,147.0,61.0,85.0,55.0,613.0,0.0,60.0,100.0,2,0,0,0,0,0,1
0.0,87.0,160.0,63.0,87.0,57.0,521.0,10.0,60.0,100.0,2,0,1,0,0,0,1
