dependents,education,self_employed,loan_amount_term,credit_history,loan_status,applicantincome,coapplicantincome,loanamount,gender_Female,gender_Male,married_No,married_Yes,property_area_Rural,property_area_Semiurban,property_area_Urban
3,2,2,3,1,1,0.31198322141897894,-0.6137571920193944,-0.18112148240909143,0,1,1,0,0,0,1
2,2,2,3,1,0,-0.07984359317085865,-0.02583567999719701,-0.18112148240909143,0,1,0,1,1,0,0
3,2,1,3,1,1,-0.5697818613349289,-0.6137571920193944,-1.0214606186109159,0,1,0,1,0,0,1
3,1,2,3,1,1,-0.698843300263809,0.305552440174466,-0.2895523386931978,0,1,0,1,0,0,1
3,2,2,3,1,1,0.3587176993044967,-0.6137571920193944,-0.004921340947418556,0,1,1,0,0,0,1
2,2,1,3,1,1,0.17827928468690168,1.0221305164986032,1.702864645527257,0,1,0,1,0,0,1
3,1,2,3,1,1,-0.7762182636504279,-0.02271673298381665,-0.6283987645810303,0,1,0,1,0,0,1
1,2,2,3,0,0,-0.5586398666072558,0.3624732231686575,0.2254942286563075,0,1,0,1,0,1,0
2,2,2,3,1,1,-0.2584250086671748,-0.018818049217091203,0.3610327990114405,0,1,0,1,0,0,1
2,2,2,3,1,0,2.4760061974159338,3.662319163325076,2.8142809224393472,0,1,0,1,0,1,0
2,2,2,3,1,1,-0.5078818906256338,-0.3408493283486131,-0.9672451904688627,0,1,0,1,0,0,1
2,2,2,3,1,1,-0.5471883720260362,2.546515869288253,0.794756224147866,0,1,0,1,0,0,1
3,2,2,3,1,0,-0.924778193352736,0.4934689977306325,-0.3708754809062776,0,1,1,0,1,0,0
2,2,2,2,1,1,-1.0962411122174833,-0.19036013495301085,-1.6855996133510676,0,1,0,1,0,0,1
3,2,2,3,1,1,0.03374285308069775,-0.6137571920193944,-0.22178305351563132,0,1,1,0,0,0,1
3,2,2,3,0,0,-0.41193693602622655,-0.6137571920193944,-0.8859220482557829,1,0,1,0,0,0,1
3,1,2,3,1,0,0.014244362307269812,-0.6137571920193944,-0.11335219723152494,0,1,0,1,1,0,0
3,1,2,3,0,0,0.8724874561916456,-0.6137571920193944,-0.5064140512614106,0,1,0,1,0,0,1
2,2,2,3,1,1,0.34479020589490533,1.5792524267636694,2.3534497832318952,0,1,0,1,0,0,1
3,1,2,3,0,0,-0.693581802753519,0.1312812758018385,-0.343767766835251,0,1,0,1,0,1,0
3,2,1,3,1,1,1.4605371779299485,-0.6137571920193944,0.6727715108282464,0,1,0,1,0,1,0
3,2,2,3,1,1,-0.6319913318977705,0.2646162606238488,-0.2624446246221712,0,1,0,1,0,1,0
2,1,2,3,1,1,-0.1903350408869503,-0.20829408027994792,-0.4250909090483308,0,1,0,1,0,0,1
3,1,2,3,1,0,-1.0519826331603372,-0.6137571920193944,-1.4416301867118282,0,1,1,0,0,0,1
3,2,2,3,1,0,-0.5180953857926676,-0.6137571920193944,-0.9130297623268095,0,1,1,0,0,0,1
2,2,1,3,1,0,-0.046108109134292856,-0.6137571920193944,-0.47930633719038396,0,1,1,0,1,0,0
3,2,2,3,1,1,-0.4150319345616913,0.0361533918937376,-0.3708754809062776,0,1,0,1,0,1,0
1,2,2,3,1,0,2.3704667473565855,0.5558479379982396,2.421219068409462,0,1,1,0,1,0,0
3,2,2,3,1,1,-0.7941692551561235,0.19210074256275547,-0.18112148240909143,0,1,0,1,0,0,1
3,2,2,3,0,0,-0.9325156896913979,-0.09523225104490995,-0.5606294794034637,0,1,0,1,0,0,1
3,2,2,3,1,1,-0.36334545901942994,-0.0449392304541517,0.03574023015912134,1,0,0,1,0,1,0
3,2,2,3,1,1,-0.20890503209973882,2.197193803789653,0.5778945115796532,0,1,1,0,0,0,1
3,1,2,3,1,1,-0.33827597088216543,0.03654326027041014,-0.4250909090483308,0,1,1,0,0,1,0
3,2,2,3,1,0,-0.3840819492070438,-0.6137571920193944,-0.8317066201137298,0,1,1,0,0,0,1
3,2,2,3,1,1,-0.9411816855906991,-0.1408468511155977,-1.2789839022856686,0,1,1,0,0,0,1
3,2,2,3,1,1,-0.27854249914769574,0.29697533588767,-0.09979834019601164,0,1,0,1,0,1,0
3,1,1,3,1,1,-0.045179609573653426,-0.6137571920193944,-0.6148449075455169,0,1,0,1,0,0,1
3,2,2,3,1,1,-0.4428869213808741,-0.6137571920193944,-0.7232757638296233,1,0,1,0,0,0,1
2,2,2,3,1,1,0.2500832507096839,-0.6137571920193944,-1.3196454733922085,0,1,0,1,0,0,1
3,2,2,3,1,1,0.30331722551967766,-0.6137571920193944,0.03574023015912134,0,1,0,1,0,0,1
3,2,2,3,0,0,-0.6796543093439276,0.7273900237341593,-0.2895523386931978,1,0,0,1,0,0,1
3,2,2,3,1,1,-0.26028200778845373,0.2731933649106448,0.03574023015912134,1,0,1,0,0,1,0
3,1,2,3,1,1,-0.9015657043367503,0.027186419230269068,-0.5606294794034637,1,0,0,1,0,1,0
3,2,2,3,1,1,-0.5431648739299321,-0.6137571920193944,-0.2895523386931978,1,0,1,0,0,1,0
3,2,2,3,1,0,-0.1890970414727644,-0.6137571920193944,-0.39798319497730417,1,0,1,0,0,1,0
2,2,2,3,1,0,-0.06963009800382497,-0.6137571920193944,-0.09979834019601164,0,1,0,1,0,0,1
2,2,1,3,0,0,2.0609668938101104,-0.6137571920193944,1.9603879292020097,1,0,0,1,0,0,1
2,2,2,3,1,1,-0.6601558185704997,-0.15878079644253473,-0.6012910505100036,0,1,0,1,0,1,0
3,2,2,3,1,1,-0.8384277342132694,0.0065233952666242006,-0.6148449075455169,0,1,0,1,0,1,0
